River_type,Year,Quarter,TrspTot_TOTN,TrspTot_NO3-N,TrspTot_TOTP,TrspTot_TOC,DisTot
Distant,2004,3,4240397.62218766,2341795.08095664,67951.8241042772,33394133.8181401,10024663320.3443
Distant,2004,4,6472653.12540825,4177745.25144652,197702.890478114,48619932.5812304,11014109110.6842
Distant,2005,1,4236638.09231529,2938488.38990057,147974.199696391,28408476.2468401,8845606214.93189
Distant,2005,2,5214922.00423879,3145846.67915473,118760.470512186,40645380.1785191,11906607287.3448
Distant,2005,3,3565731.44184375,1844053.22584147,76449.3570463181,28872293.8200346,10773489520.7636
Distant,2005,4,5906008.72648289,4148389.8429256,151533.852560084,45222511.6204458,11782030743.0771
Distant,2006,1,3729962.63960945,2623099.79830637,52652.9146561832,25099983.9044355,8764149997.98531
Distant,2006,2,9007830.53977431,5662603.99151639,200025.388039609,67353211.7474521,14775050103.4576
Distant,2006,3,3639215.25649078,1810519.66061541,77681.8677508212,27489783.608003,8592047936.13809
Distant,2006,4,9305412.11245992,5316827.18682504,256736.577226376,73216115.7102298,15314563099.9929
Distant,2007,1,5419997.88055372,3662233.30765607,93917.7996874135,35559956.9568478,10936314450.5266
Distant,2007,2,6549842.89433262,4165387.0387221,176597.594847731,47862694.0044232,14269318147.5808
Distant,2007,3,6987418.91378546,4014155.38163957,284244.010804546,62645063.3002519,16634406186.1425
Distant,2007,4,4281510.89737395,2834515.80553018,91889.3112564488,28083155.7887041,8196534070.14086
Distant,2008,1,6309064.71461168,4533974.85791113,239098.355867077,38705022.1330284,11188356953.3414
Distant,2008,2,9195501.43881035,5544071.79961795,263647.686065923,78077044.9924134,21785319639.8604
Distant,2008,3,4647904.84331325,2401007.88549236,109764.160621851,35324426.2961431,11794456603.5498
Distant,2008,4,5409033.29279587,3273827.16868446,224483.780431311,40775598.1733715,10583351698.7492
Distant,2009,1,3765064.76833965,2289397.58151928,57555.872374923,24180421.8245854,8410158941.13067
Distant,2009,2,6124941.92165318,3228369.99755843,174416.31382275,51503774.7924776,14156069409.7381
Distant,2009,3,6453529.41029205,3144517.77207439,207660.714717027,61651128.5097665,15023352722.8001
Distant,2009,4,5540164.8940348,3053187.34606949,131467.944652583,46934652.5989525,10695366847.9203
Distant,2010,1,3909850.38563345,2533862.60909041,54594.3481122045,24956990.4307566,8655878167.03301
Distant,2010,2,6456473.84549007,3801525.00179069,160969.015729843,55072662.6974043,13628035945.5204
