Variable,Year,Quarter,Value
River_Distant_TOTP,1997,2,157.750596420255
River_Distant_TOTP,1997,3,77.4897841941601
River_Distant_TOTP,1997,4,67.6388815600251
River_Distant_TOTP,1998,1,85.6025445689929
River_Distant_TOTP,1998,2,141.325783019463
River_Distant_TOTP,1998,3,111.410491304911
River_Distant_TOTP,1998,4,86.972172547993
River_Distant_TOTP,1999,1,47.0130230547043
River_Distant_TOTP,1999,2,121.392368574905
River_Distant_TOTP,1999,3,75.133593929507
River_Distant_TOTP,1999,4,64.5669222271569
River_Distant_TOTP,2000,1,56.7835981092009
River_Distant_TOTP,2000,2,115.504791960816
River_Distant_TOTP,2000,3,105.598406135031
River_Distant_TOTP,2000,4,188.320079948288
River_Distant_TOTP,2001,1,71.7572135934294
River_Distant_TOTP,2001,2,128.827549068119
River_Distant_TOTP,2001,3,112.492961112969
River_Distant_TOTP,2001,4,98.0167720091808
River_Distant_TOTP,2002,1,69.9994670502591
River_Distant_TOTP,2002,2,160.499769217699
River_Distant_TOTP,2002,3,104.604947649998
River_Distant_TOTP,2002,4,60.5365607361124
River_Distant_TOTP,2003,1,51.7504022978119
River_Distant_TOTP,2003,2,142.178384734764
River_Distant_TOTP,2003,3,103.470654278587
River_Distant_TOTP,2003,4,80.9985957583914
River_Distant_TOTP,2004,1,71.5310070945857
River_Distant_TOTP,2004,2,155.377878834177
River_Distant_TOTP,2004,3,67.5896451003274
River_Distant_TOTP,2004,4,197.243985496277
River_Distant_TOTP,2005,1,147.749998198529
River_Distant_TOTP,2005,2,118.464478130137
River_Distant_TOTP,2005,3,76.2607754739179
River_Distant_TOTP,2005,4,151.098615024071
River_Distant_TOTP,2006,1,52.3880278459522
River_Distant_TOTP,2006,2,199.145832434187
River_Distant_TOTP,2006,3,77.4092608473006
River_Distant_TOTP,2006,4,256.065756566574
River_Distant_TOTP,2007,1,93.3728313731457
River_Distant_TOTP,2007,2,176.348782280075
River_Distant_TOTP,2007,3,283.868140755741
River_Distant_TOTP,2007,4,91.68899499781
River_Distant_TOTP,2008,1,238.210011732905
River_Distant_TOTP,2008,2,263.196632749424
River_Distant_TOTP,2008,3,109.393650377916
River_Distant_TOTP,2008,4,224.124502563997
River_Distant_TOTP,2009,1,57.0453814541739
River_Distant_TOTP,2009,2,174.008625386578
River_Distant_TOTP,2009,3,207.272655770479
River_Distant_TOTP,2009,4,130.783428035576
River_Distant_TOTP,2010,1,54.3565917297277
River_Distant_TOTP,2010,2,160.546820449258
River_Distant_TOTP,2010,3,135.942053535431
River_Distant_TOTP,2010,4,120.724323916661
River_Distant_TOTP,2011,1,51.6714087541087
River_Distant_TOTP,2011,2,279.531534671917
River_Distant_TOTP,2011,3,474.859455321553
River_Distant_TOTP,2011,4,163.946688174873
River_Distant_TOTP,2012,1,85.1785744107676
River_Distant_TOTP,2012,2,165.621579866134
River_Distant_TOTP,2012,3,554.474571998178
River_Distant_TOTP,2012,4,183.187226635939
River_Distant_TOTP,2013,1,64.1218193355679
River_Distant_TOTP,2013,2,354.040759285866
River_Distant_TOTP,2013,3,93.9529873131604
River_Distant_TOTP,2013,4,145.864071410587
River_Distant_TOTP,2014,1,217.652281815042
River_Distant_TOTP,2014,2,188.974511878805
River_Distant_TOTP,2014,3,71.233857708788
River_Distant_TOTP,2014,4,222.660838140371
River_Distant_TOTP,2015,1,90.3168484767238
River_Distant_TOTP,2015,2,115.464705787584
River_Distant_TOTP,2015,3,273.492631956346
River_Distant_TOTP,2015,4,229.942836897674
River_Distant_TOTP,2016,1,224.358635344509
River_Distant_TOTP,2016,2,193.21853126172
River_Distant_TOTP,2016,3,72.3538525167368
River_Distant_TOTP,2016,4,56.3908046441977
River_Local_TOTP,1990,1,0
River_Local_TOTP,1990,2,0
River_Local_TOTP,1990,3,0
River_Local_TOTP,1990,4,0
River_Local_TOTP,1991,1,0
River_Local_TOTP,1991,2,0
River_Local_TOTP,1991,3,0
River_Local_TOTP,1991,4,0
River_Local_TOTP,1992,1,0
River_Local_TOTP,1992,2,0
River_Local_TOTP,1992,3,0
River_Local_TOTP,1992,4,0
River_Local_TOTP,1993,1,0.059136389023086
River_Local_TOTP,1993,2,0.129565361509369
River_Local_TOTP,1993,3,0.156606249378172
River_Local_TOTP,1993,4,0.7430433096371
River_Local_TOTP,1994,1,0.43458557236828
River_Local_TOTP,1994,2,2.12163638713961
River_Local_TOTP,1994,3,1.40012229478146
River_Local_TOTP,1994,4,1.49953459118859
River_Local_TOTP,1995,1,1.88110096432403
River_Local_TOTP,1995,2,2.4846435336962
River_Local_TOTP,1995,3,1.47904998185639
River_Local_TOTP,1995,4,1.14313940785064
River_Local_TOTP,1996,1,0.612781760392076
River_Local_TOTP,1996,2,2.05171796495476
River_Local_TOTP,1996,3,1.20658861628247
River_Local_TOTP,1996,4,2.38966160989667
River_Local_TOTP,1997,1,1.97758042149307
River_Local_TOTP,1997,2,2.65578043194795
River_Local_TOTP,1997,3,2.11917316938402
River_Local_TOTP,1997,4,2.937553173483
River_Local_TOTP,1998,1,2.52691428234606
River_Local_TOTP,1998,2,6.81626005548124
River_Local_TOTP,1998,3,6.33235828716559
River_Local_TOTP,1998,4,3.46402827914744
River_Local_TOTP,1999,1,3.53862751407584
River_Local_TOTP,1999,2,7.01706775705416
River_Local_TOTP,1999,3,4.66406642598346
River_Local_TOTP,1999,4,3.81989666732363
River_Local_TOTP,2000,1,3.66792421454857
River_Local_TOTP,2000,2,6.67051056143911
River_Local_TOTP,2000,3,6.46056719721572
River_Local_TOTP,2000,4,25.9331804875622
River_Local_TOTP,2001,1,10.801429023448
River_Local_TOTP,2001,2,16.9793006959753
River_Local_TOTP,2001,3,10.3468372375773
River_Local_TOTP,2001,4,17.5020142988773
River_Local_TOTP,2002,1,13.6172151487605
River_Local_TOTP,2002,2,21.3858178034994
River_Local_TOTP,2002,3,12.6238925524815
River_Local_TOTP,2002,4,6.57032935102258
River_Local_TOTP,2003,1,6.18862609324217
River_Local_TOTP,2003,2,12.7097929371636
River_Local_TOTP,2003,3,5.94969194843597
River_Local_TOTP,2003,4,6.37528341766816
River_Local_TOTP,2004,1,6.985986376006
